Inches,Ram,Gpu,OpSys,Weight,Price_euros,CPU Manufacturer,CPU Series,CPU Model,CPU Clock Speed,Capacity,MemoryType,Laptop,Width,Height
13.3,8,Intel HD Graphics 520,Windows 10,1.6,789.01,Intel,Intel Core,7,2.5,256GB,SSD,Acer2 in 1 ConvertibleAspire R7,1920,1080
14.0,16,Nvidia GeForce GTX 1060,Windows 10,1.95,2899.0,Intel,Intel Core,7,2.8,512GB,SSD,RazerGamingBlade Pro,1920,1080
15.6,4,Intel HD Graphics 520,Windows 10,2.1,867.0,Intel,Intel Core,5,2.3,256GB,SSD,Lenovo2 in 1 ConvertibleYoga 500-15ISK,1920,1080
15.6,8,AMD Radeon R5 M430,Linux,2.2,599.9,Intel,Intel Core,7,2.7,1TB,HDD,DellNotebookInspiron 3567,1920,1080
15.6,4,Intel HD Graphics 520,Windows 10,1.86,469.0,Intel,Intel Core,3,2.0,1TB,HDD,HPNotebook250 G6,1920,1080
15.6,4,Intel HD Graphics 520,Windows 10,2.1,540.0,Intel,Intel Core,5,2.3,500GB,HDD,LenovoNotebookV110-15ISK (i5-6200U/4GB/500GB/W10),1366,768
14.0,2,Intel HD Graphics,Windows 10,1.4,239.0,Intel,Intel Atom,5,1.44,32GB,Flash Storage,MediacomNotebookSmartBook 140,1920,1080
14.0,4,Intel HD Graphics 620,Windows 10,1.74,629.0,Intel,Intel Core,3,2.4,256GB,SSD,Lenovo2 in 1 ConvertibleYoga 520-14IKB,1920,1080
17.3,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1348.48,Intel,Intel Core,7,2.8,128GB,SSD,MSIGamingGL72M 7REX,1920,1080
14.0,4,Intel HD Graphics 405,Windows 10,1.6,349.0,Intel,Intel Pentium,3710,1.6,128GB,Flash Storage,AcerNotebookSwift SF114-31-P5HY,1366,768
14.0,4,Intel HD Graphics 500,Windows 10,1.5,278.0,Intel,Intel Celeron,3350,1.1,32GB,Flash Storage,AsusNotebookL403NA-GA013TS (N3350/4GB/32GB/W10),1366,768
14.0,4,Intel HD Graphics 500,Windows 10,2.1,299.0,Intel,Intel Celeron,3350,1.1,500GB,HDD,LenovoNotebookIdeaPad 320-14IAP,1366,768
15.6,16,AMD Radeon R7 M445,Windows 10,2.32,989.99,Intel,Intel Core,7,2.7,2TB,HDD,DellNotebookInspiron 5567,1920,1080
14.0,16,Intel HD Graphics 520,Windows 7,1.1,2620.0,Intel,Intel Core,7,2.6,256GB,SSD,LenovoNotebookThinkPad X1,2560,1440
17.3,8,Nvidia GeForce GTX 1050,Windows 10,3.35,1191.0,Intel,Intel Core,7,2.8,128GB,SSD,HPGamingOmen 17-w212nv,1920,1080
13.3,16,Intel Iris Graphics 540,Windows 10,1.3,1799.0,Intel,Intel Core,7,2.2,1TB,SSD,Lenovo2 in 1 ConvertibleYoga 900-13ISK,3200,1800
15.6,8,Nvidia GeForce 930MX,Windows 10,1.93,1369.0,Intel,Intel Core,7,2.8,256GB,SSD,DellNotebookLatitude 5580,1920,1080
15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.5,829.0,Intel,Intel Core,5,2.5,256GB,SSD,LenovoGamingLegion Y520-15IKBN,1920,1080
17.3,8,Intel HD Graphics 620,No OS,2.8,539.0,Intel,Intel Core,5,2.5,1TB,HDD,LenovoNotebookIdeaPad 320-17IKB,1600,900
11.6,2,Intel HD Graphics 500,Windows 10,1.15,304.45,Intel,Intel Celeron,3350,1.1,32GB,Flash Storage,LenovoNotebookLenovo IdeaPad,1366,768
13.3,16,Intel HD Graphics 620,Windows 10,1.2,2254.0,Intel,Intel Core,7,2.7,1TB,SSD,DellUltrabookXPS 13,3200,1800
15.6,16,Nvidia GeForce GTX 970M,Windows 10,3.21,1329.0,Intel,Intel Core,7,2.6,256GB,SSD,DellGamingAlienware 15,3840,2160
11.6,4,Intel HD Graphics 400,Chrome OS,1.26,295.0,Intel,Intel Celeron,3060,1.6,16GB,Flash Storage,DellNetbookChromebook 11,1366,768
15.6,8,Intel HD Graphics 620,Windows 10,2.3,830.0,Intel,Intel Core,5,2.5,256GB,SSD,LenovoNotebookThinkpad E570,1920,1080
15.6,4,Intel HD Graphics 520,Windows 10,1.95,729.9,Intel,Intel Core,5,2.3,500GB,HDD,DellNotebookLatitude 3580,1366,768
15.6,8,AMD R17M-M1-70,Windows 10,1.9,813.0,Intel,Intel Core,5,2.5,128GB,SSD,LenovoNotebookV310-15IKB (i5-7200U/8GB/1TB,1920,1080
15.6,8,Intel HD Graphics 520,Windows 10,2.3,1349.0,Intel,Intel Core,5,2.3,256GB,SSD,LenovoNotebookThinkPad T560,1920,1080
15.6,4,Intel HD Graphics 620,Windows 10,2.04,685.0,Intel,Intel Core,3,2.4,500GB,HDD,HPNotebookProBook 450,1920,1080
15.6,8,Intel HD Graphics 630,Windows 10,1.95,1097.0,Intel,Intel Core,7,2.7,256GB,SSD,LenovoNotebookThinkpad T570,1920,1080
17.3,8,Nvidia GeForce GTX 1050,Windows 10,3.0,1039.0,Intel,Intel Core,7,2.8,1TB,HDD,AsusGamingRog GL753VD-GC042T,1920,1080
13.3,16,Intel Iris Plus Graphics 640,Windows 10,1.29,2240.0,Intel,Intel Core,7,2.5,512GB,SSD,DellUltrabookXPS 13,3200,1800
15.6,16,Nvidia GeForce GTX 1060,Windows 10,2.2,1449.0,Intel,Intel Core,7,2.8,128GB,SSD,AsusGamingFX503VM-E4007T (i7-7700HQ/16GB/1TB,1920,1080
